Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10036 Pizza To Go by Robert Paciorek [bercik], CC BY 2.0, https://library.ldraw.org/omr/sets/658
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

10036 - car.ldr | Robert Paciorek [bercik] | Redistributable under CCAL version 2.0 : see CAreadme.txt
p/box5-1.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/bump5000.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip10.dat | Owen Burgoyne [C3POwen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/empty.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/filstud3.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/hipstud.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/knob1.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect1.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect2a.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect2p.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/rect3.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/recte3.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/recte4.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud12.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud2a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud2s.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud3a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud4a.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud4s.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stud6.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-1x2.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-1x3.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-1x4.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-1x8.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-2x1.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-2x2.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-3x3.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-4x1.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-4x4.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug-8x8.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug2-1x2.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug2-4x1.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug2.dat | [PTadmin] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug3-1x2.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/stug3-1x3.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
