Brick Atlas is an unofficial community project, not affiliated with the LEGO Group.
10242 MINI Cooper by Magnus Forsberg [MagFors], CC BY 2.0, https://library.ldraw.org/library/omr/10242-1.mpd
LDraw.org Parts Library. Per-file authors and licenses: credits.json and original packed MPD.
Licenses: https://creativecommons.org/licenses/by/2.0/ and https://creativecommons.org/licenses/by/4.0/
Changes: Dependency closure packed without modifying original files; Geometry converted to millimetres (+Y up); Deterministic brick IDs and functional groups; Geometry batching and lossless gzip; no decimation.

p/axl3hol3.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hol8.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hol9.dat | Santeri Piippo [arezey] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl3hole.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5ho10.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol8.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axl5hol9.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend2.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axleend20.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol2.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol3.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol8.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehol9.dat | Steve Bliss [sbliss] | Licensed under CC BY 4.0 : see CAreadme.txt
p/axlehole.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/beamhole.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-11.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-5.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-7.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-9.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box2-9p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3-3.dat | Mark Kennedy [mkennedy] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u12.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u2p.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u4a.dat | Niels Karsdorp [nielsk] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u5p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u6.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box3u8p.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-1.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-2p.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-4a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4-7a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4o4a.dat | Donald Sutter [technog] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4o8a.dat | Steffen [Steffen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box4t.dat | Tore Eriksson [Tore_Eriksson] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5-1.dat | J.C. Tchang [tchang] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5-12.dat | Chris Dee [cwdee] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5-4a.dat | Willy Tschager [Holly-Wood] | Licensed under CC BY 4.0 : see CAreadme.txt
p/box5.dat | James Jessiman | Licensed under CC BY 4.0 : see CAreadme.txt
p/bump5000.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip11.dat | Owen Burgoyne [C3POwen] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip15.dat | Gerald Lasser [GeraldLasser] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip5.dat | Philippe Hurbain [Philo] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip6.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
p/clip8.dat | Magnus Forsberg [MagFors] | Licensed under CC BY 4.0 : see CAreadme.txt
